Permit Type,Permit No,Issued,Address,Zip Code,Mapsco,Contractor,Value,Area,Work Description,Land Use,Latitude,Longitude,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country 
Building (BU) Commercial  New Construction,1801241104,2/16/2018,18260 PRESTON RD,,5-G,"MCRIGHT-SMITH CONSTRUCTION, LLC 6900 N DALLAS PKWY #770, PLANO, TX 75024 (972) 608-8988","$775,000.00 ",4928,SHELL SPACE,SHELL BUILDING,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1806011038,9/18/2018,8280 MANDERVILLE LN,75231,26-F,"ANDRES CONSTRUCTION SERVICES 3710 RAWLINS DR, SUITE 1510, DALLAS, TX 75219 (214) 521-2118","$490,500.00 ",4905,NEW CONSTRUCTION,CONVALESCENT & NURSING HOMES & RELATED INSTITUTION,32.894292,-96.765126,8280,Manderville Ln,,,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1801251046,7/24/2018,1449 INWOOD RD,75247,34-W,"LUCKY CONSTRUCTION INC 2214 SULPHUR ST, DALLAS, TX 75208 (972) 223-4448","$480,000.00 ",4840,NEW CONSTRUCTION,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.808675,-96.851684,1449,Inwood Rd,,,Dallas,TX,Dallas County,75247,US
Building (BU) Commercial  New Construction,1712131015,6/8/2018,9235 JOHN W CARPENTER FWY,75247,33-N,"FRANK DALE CONSTRUCTION, LTD 250 BANK STREET, SOUTHLAKE, TX 76092-9191 (817) 329-6100","$35,000.00 ",4753,NEW CONSTRUCTION SEMI TRUCK CANOPY,Truck Stop,32.825892,-96.886039,9235,John W Carpenter Fwy,,,Dallas,TX,Dallas County,75247,US
Building (BU) Commercial  New Construction,1705021135,9/20/2018,8360 S POLK ST,75232,"74-B,74-F","CAPSTONE CLASSIC CONSTRUCTION LLC 2810 MARKET LOOP STE: 100, SOUTHLAKE, TX 76092 (817) 421-7778","$550,000.00 ",4751,NEW COMM CONST,RESTAURANT WITH DRIVE-IN SERVICE,32.646231,-96.839462,8360,S Polk St,,,Dallas,TX,Dallas County,75232,US
Building (BU) Commercial  New Construction,1702271111,2/9/2018,8340 SOUTHWESTERN BLVD,75206,"26-X,26-Y","MANHATTAN CONSTRUCTION 6300 N CENTRAL EXPY, DALLAS, TX 75206 (214) 276-3635","$600,000.00 ",4636,SPA - HOTEL,HOTEL,32.860814,-96.764429,8340,Southwestern Blvd,,,Dallas,TX,Dallas County,75206,US
Building (BU) Commercial  New Construction,1802201190,7/24/2018,4445 BUENA VISTA ST,75205,35-U,"SCOTT & REID 17300 DALLAS PKWY, SUITE 2000, DALLAS, TX 75248 (469) 374-3400","$856,890.34 ",4422,3 STORY OFFICE BLDG,OFFICE BUILDING,32.821578,-96.792852,4445,Buena Vista St,,,Dallas,TX,Dallas County,75205,US
Building (BU) Commercial  New Construction,1802281088,5/1/2018,10763 PRESTON RD,75230,25-F,"SPRING VALLEY CONSTRUCTION CO. 10950 ALDER CIRCLE, DALLAS, TX 75238 (214) 340-9800","$1,250,000.00 ",4300,NEW CONSTRUCTION,FINANCIAL INSTITUTION WITH DRIVE-IN WINDOW,32.89453,-96.804262,10763,Preston Rd,,,Dallas,TX,Dallas County,75230,US
Building (BU) Commercial  New Construction,1806271139,8/23/2018,1351 HAMEL ST,75212,"44-N,44-P","MEGATEL HOMES INC 1800 VALLEY VIEW LN #400, FARMERS BRANCH, TX 75234 (214) 396-4442","$1,000,000.00 ",4197,NEW CONSTRUCTION,"PRIVATE RECREATION CENTER, CLUB OR AREA",32.776217,-96.84255,1351,Hamel St,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1804121089,5/14/2018,9757 MILITARY PKWY,75227,49-T,"STEVENS TRANSPORT 9757 MILITARY PKWY, DALLAS, TX 75227 (214) 882-3162","$725,000.00 ",4162,NEW CONSTRUCTION,FREIGHT TERMINAL,32.769609,-96.654506,9757,Military Pkwy,,,Dallas,TX,Dallas County,75227,US
Building (BU) Commercial  New Construction,1802201191,7/24/2018,4445 BUENA VISTA ST,75205,35-U,"SCOTT & REID 17300 DALLAS PKWY, SUITE 2000, DALLAS, TX 75248 (469) 374-3400","$856,890.33 ",4089,3 STORY OFFICE BLDG,OFFICE BUILDING,32.821578,-96.792852,4445,Buena Vista St,,,Dallas,TX,Dallas County,75205,US
Building (BU) Commercial  New Construction,1802201192,7/24/2018,4445 BUENA VISTA ST,75205,35-U,"SCOTT & REID 17300 DALLAS PKWY, SUITE 2000, DALLAS, TX 75248 (469) 374-3400","$856,890.33 ",4089,3 STORY OFFICE BLDG,OFFICE BUILDING,32.821578,-96.792852,4445,Buena Vista St,,,Dallas,TX,Dallas County,75205,US
Building (BU) Commercial  New Construction,1804111086,4/11/2018,4849 W LAWTHER DR,75214,37-B,"HILL & WILKINSON GENERAL CONTRACTORS 2703 TELECOM PKWY  #120, RICHARDSON, TX 75082 (214) 299-4300","$1,304,657.00 ",3869,NEW CONSTRUCTION FOR NURSING HOME/ASSISTED LIVING,CONVALESCENT & NURSING HOMES & RELATED INSTITUTION,32.854302,-96.730593,4849,W Lawther Dr,,,Dallas,TX,Dallas County,75214,US
Building (BU) Commercial  New Construction,1704281070,5/8/2018,2525 W MOCKINGBIRD LN,75235,"34-N,34-P","PANTERRA DEVELOPMENT LTD, LLP 14901 QUORUM DR #320, DALLAS , TX 75254 (214) 461-9657","$1,400,000.00 ",3867,RESTAURANT,RESTAURANT WITH DRIVE-IN SERVICE,32.828939,-96.844244,2525,W Mockingbird Ln,,,Dallas,TX,Dallas County,75235,US
Building (BU) Commercial  New Construction,1703171135,4/2/2018,1618 EXETER AVE,75216,"65-B,65-F","THE SAVING PLACE HOLINESS CHURCH 1618 EXETER AVE, DALLAS, TX 75216 (936) 689-4547","$155,000.00 ",3833,NEW COMMERCIAL CONSTRUCTION,"CHURCH, SYNAGOGUE, TEMPLE, MOSQUE",32.695715,-96.800299,1618,Exeter Ave,,,Dallas,TX,Dallas County,75216,US
Building (BU) Commercial  New Construction,1802211009,4/30/2018,11881 INWOOD RD,75244,14-Z,"GREYSTAR DEVELOPMENT & CONSTRUCTION 600 E LAS COLINAS BLVD STE 2100, IRVING , TX 75039 (972) 556-8972","$1,276,275.00 ",3742,NEW CONSTRUCTION,RETIREMENT HOUSING,32.91067,-96.819333,11881,Inwood Rd,,,Dallas,TX,Dallas County,75244,US
Building (BU) Commercial  New Construction,1802211011,4/30/2018,11881 INWOOD RD,75244,14-Z,"GREYSTAR DEVELOPMENT & CONSTRUCTION 600 E LAS COLINAS BLVD STE 2100, IRVING , TX 75039 (972) 556-8972","$1,276,275.00 ",3682,NEW CONSTRUCTION,RETIREMENT HOUSING,32.91067,-96.819333,11881,Inwood Rd,,,Dallas,TX,Dallas County,75244,US
Building (BU) Commercial  New Construction,1802261145,5/9/2018,5858 W NORTHWEST HWY,75225,25-W,"MAPP LLC 3625 Hall Street, Suite 1400 PH, Dallas, TX 75219 (817) 875-2712","$1,389,951.00 ",3631,NEW CONSTRUCTION,FINANCIAL INSTITUTION WITH DRIVE-IN WINDOW,32.865152,-96.809506,5858,W Northwest Hwy,,,Dallas,TX,Dallas County,75225,US
Building (BU) Commercial  New Construction,1802121156,8/8/2018,3827 S BUCKNER BLVD,75227,48-U,"LAITH M ALJAWABRAH 743 BRICK ROW DR #1428, RICHARDSON, TX 75208 (469) 703-1343","$17,500.00 ",3614,NEW COMMERCIAL CONSTRUCTION,VACANT FLOOR SPACE,32.770875,-96.683424,3827,S Buckner Blvd,,,Dallas,TX,Dallas County,75227,US
Building (BU) Commercial  New Construction,1802121157,8/8/2018,3827 S BUCKNER BLVD,75227,48-U,"LAITH M ALJAWABRAH 743 BRICK ROW DR #1428, RICHARDSON, TX 75208 (469) 703-1343","$17,500.00 ",3614,NEW COMMERCIAL CONSTRUCTION,VACANT FLOOR SPACE,32.770875,-96.683424,3827,S Buckner Blvd,,,Dallas,TX,Dallas County,75227,US
Building (BU) Commercial  New Construction,1710091044,1/26/2018,1801 N GRIFFIN ST,75202,45-K,"D W A 1801 N. GRIFFIN ST., DALLAS, TX 75202 (214) 538-6655","$600,000.00 ",3600,ADDITION SHELL ONLY,SHELL BUILDING,32.783295,-96.805196,1801,N Griffin St,,,Dallas,TX,Dallas County,75202,US
Building (BU) Commercial  New Construction,1801091108,5/11/2018,8092 FERGUSON RD,75228,47-D,"KASH INVESTORS GROUP LLC 721 WINDING BEND CIR, HIGHLAND VILLAGE, TX 75077 (188) 896-5968","$306,000.00 ",3600,"NEW CONSTRUCTION, CREATE NEW BLDG. FOR PROPOSED GAS STATION/ COVENIENT  STORE AND ALL RELATED SITE W",GEN MERCHANDISE OR FOOD STORE < 3500 SQ. FT.,32.803096,-96.711839,8092,Ferguson Rd,,,Dallas,TX,Dallas County,75228,US
Building (BU) Commercial  New Construction,1809241139,10/29/2018,211 S AKARD ST,75202,45-P,"HC BECK CONTRACTORS 1807 ROSS AVE., STE 500, DALLAS, TX 75201 (214) 303-6416","$2,000,000.00 ",3571,NEW CONSTRUCTION,OFFICE BUILDING,32.779301,-96.800016,211,S Akard St,,,Dallas,TX,Dallas County,75202,US
Building (BU) Commercial  New Construction,1808101092,10/4/2018,2525 KNIGHT ST,75219,"34-Z,35-W","INPRO FABRICATION 5111 E CALIFORNIA, FORT WORTH, TX 76119 (817) 926-5050","$48,000.00 ",3564,NEW CONSTRUCTION,OFFICE BUILDING,32.808322,-96.817461,2525,Knight St,,,Dallas,TX,Dallas County,75219,US
Building (BU) Commercial  New Construction,1708021083,3/7/2018,550 W DAVIS ST,75208,54-C,"J & K PROJECT MANAGEMENT CONSULTANTS LLC 350 MCDONNELL ST, LEWISVILLE, TX 75057 (972) 436-1144","$390,000.00 ",3490,SHELL,SHELL BUILDING,32.749293,-96.831462,550,W Davis St,,,Dallas,TX,Dallas County,75208,US
Building (BU) Commercial  New Construction,1705231036,8/7/2018,9500 LAKE JUNE RD,75217,59-K,"ROYAL BENGAL CONSTRUCTION INC. 2019 KENNETH HOPPER DR, MESQUITE, TX 75149 (214) 682-5973","$103,500.00 ",3450,NEW CONSTRUCTION - SELF STORAGE,OUTSIDE STORAGE,32.733548,-96.658167,9500,Lake June Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1705171052,4/19/2018,1499 COLISEUM DR,75210,"46-K,46-L,46-P,46-Q,46-R,46-U","DALLAS PLANNING ASSOCIATES 3910 CEDARBRUSH DR, DALLAS, TX 75229 (972) 497-1590","$1,000,000.00 ",3388,NEW CONSTRUCTION / GUEST RELATIONS FACILITY,FAIRGROUNDS,32.769479,-96.750478,,,,,Dallas,TX,Dallas County,75210,US
Building (BU) Commercial  New Construction,1809255001,9/25/2018,7922 FORNEY RD,75227,48-Q,"POINTS MODERN CONSTRUCTION, LLC 8622 SANTA CLARA DR, DALLAS, TX 75218 (214) 381-5899","$633,833.33 ",3271,FINISH WORK FROM REVOKED PERMIT 1610191040,OFFICE SHOWROOM/WAREHOUSE,32.776907,-96.685325,7922,Forney Rd,,,Dallas,TX,Dallas County,75227,US
Building (BU) Commercial  New Construction,1806131001,6/21/2018,7650 CAMPBELL RD,75248,6-P,"TURNKEY CONSTRUCTION 10755 SANDHILL RD, DALLAS, TX 75238 (214) 503-6555","$150,000.00 ",3240,NEW CONSTRUCTION,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.977962,-96.768539,7650,Campbell Rd,,,Dallas,TX,Dallas County,75248,US
Building (BU) Commercial  New Construction,1708281133,5/15/2018,10820 GOODNIGHT LN,75220,22-Q,"ENVIROSCAPE SERVICES 5832 CHARLESTON, DALLAS, TX 75230 (214) 956-7477","$175,000.00 ",3200,NEW CONSTRUCTION,OFFICE SHOWROOM/WAREHOUSE,32.874349,-96.901931,10820,Goodnight Ln,,,Dallas,TX,Dallas County,75220,US
Building (BU) Commercial  New Construction,1705231035,8/7/2018,9500 LAKE JUNE RD,75217,59-K,"ROYAL BENGAL CONSTRUCTION INC. 2019 KENNETH HOPPER DR, MESQUITE, TX 75149 (214) 682-5973","$96,000.00 ",3200,NEW CONSTRUCTION - SELF STORAGE,OUTSIDE STORAGE,32.733548,-96.658167,9500,Lake June Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1805291051,9/13/2018,555 W MOCKINGBIRD LN,75247,33-X,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","$1,050,000.00 ",3098,NEW CONSTRUCTION OF 7- ELEVEN STORE.,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.807422,-96.873979,555,W Mockingbird Ln,,,Dallas,TX,Dallas County,75247,US
Building (BU) Commercial  New Construction,1801241105,2/16/2018,18260 PRESTON RD,,5-G,"MCRIGHT-SMITH CONSTRUCTION, LLC 6900 N DALLAS PKWY #770, PLANO, TX 75024 (972) 608-8988","$775,000.00 ",3072,SHELL SPACE,SHELL BUILDING,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1806291099,11/9/2018,2935 W CAMP WISDOM RD,75237,63-U,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","$850,000.00 ",3060,NEW CONSTRUCTION,GEN MERCHANDISE OR FOOD STORE < 3500 SQ. FT.,32.66262,-96.868451,2935,W Camp Wisdom Rd,,,Dallas,TX,Dallas County,75237,US
Building (BU) Commercial  New Construction,1704281031,2/13/2018,14219 COIT RD,75254,"16-E,16-F,16-J,16-K","THE CHARLES MORGAN GROUP LP 1551 I 30 EAST , STE: 100, ROCKWALL, TX 75087 (972) 772-9089","$800,000.00 ",3053,NEW CONSTRUCTION OF RESTAURANT,RESTAURANT WITH DRIVE-IN SERVICE,32.937407,-96.769166,14219,Coit Rd,,,Dallas,TX,Dallas County,75254,US
Building (BU) Commercial  New Construction,1612051103,3/2/2018,1224 S CESAR CHAVEZ BLVD,75201,45-R,"PARC PLAZA DEVELOPMENT, LP 1414 ELM ST #200, DALLAS, TX 75202 (214) 379-8600","$250,000.00 ",3000,NEW CONSTRUCTION OF SOCCER FIELDS,"PRIVATE RECREATION CENTER, CLUB OR AREA",32.77688,-96.787549,1224,S Cesar Chavez Blvd,,,Dallas,TX,Dallas County,75201,US
Building (BU) Commercial  New Construction,1705231037,8/7/2018,9500 LAKE JUNE RD,75217,59-K,"ROYAL BENGAL CONSTRUCTION INC. 2019 KENNETH HOPPER DR, MESQUITE, TX 75149 (214) 682-5973","$90,000.00 ",3000,NEW CONSTRUCTION - SELF STORAGE,OUTSIDE STORAGE,32.733548,-96.658167,9500,Lake June Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1705231039,8/7/2018,9500 LAKE JUNE RD,75217,59-K,"ROYAL BENGAL CONSTRUCTION INC. 2019 KENNETH HOPPER DR, MESQUITE, TX 75149 (214) 682-5973","$90,000.00 ",3000,NEW CONSTRUCTION - SELF STORAGE,OUTSIDE STORAGE,32.733548,-96.658167,9500,Lake June Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1801091107,5/11/2018,8092 FERGUSON RD,75228,47-D,"KASH INVESTORS GROUP LLC 721 WINDING BEND CIR, HIGHLAND VILLAGE, TX 75077 (188) 896-5968","$90,000.00 ",3000,"NEW CONSTRUCTION, CREATE NEW BLDG. FOR PROPOSED GAS STATION/ COVENIENT  STORE AND ALL RELATED SITE W",GEN MERCHANDISE OR FOOD STORE < 3500 SQ. FT.,32.803096,-96.711839,8092,Ferguson Rd,,,Dallas,TX,Dallas County,75228,US
Building (BU) Commercial  New Construction,1804111103,7/18/2018,10665 HARRY HINES BLVD,75220,23-S,"FRANCO LOPEZ 8202 WOODSIDE RD, ROWLETT, TX 75088 (214) 478-1485","$30,000.00 ",3000,NEW CONSTRUCTION,OFFICE SHOWROOM/WAREHOUSE,32.870816,-96.883642,10665,Harry Hines Blvd,,,Dallas,TX,Dallas County,75220,US
Building (BU) Commercial  New Construction,1710201072,1/11/2018,3040 W MOCKINGBIRD LN,,,"LANDMARK GENERAL CONTRACTORS 756 N. CARROLL BLVD., SOUTHLAKE, TX 76092 (817) 424-0888","$850,000.00 ",2984,NEW CONSTRUCTION,RESTAURANT WITH DRIVE-IN SERVICE,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1810021113,12/3/2018,3710 ELM ST Ste:E,75226,46-J,"ENERTECH RESOURCES 1820 WASTON LN EAST, NEW  BRAUNFELS, TX 78130 (830) 387-4502","$85,000.00 ",2964,"PROPOSED 145' MONOPOLE CELLULAR TOWER, NEW 10'X8' EQUIPMENT CABINET, NEW ICE BRIDGE, NEW UTILITY H-F",TOWER/ANTENNA FOR CELLULAR COMMUNICATION,32.78663,-96.774787,3710,Elm St,Ste,E,Dallas,TX,Dallas County,75226,US
Building (BU) Commercial  New Construction,1702271112,2/9/2018,8340 SOUTHWESTERN BLVD,75206,"26-X,26-Y","MANHATTAN CONSTRUCTION 6300 N CENTRAL EXPY, DALLAS, TX 75206 (214) 276-3635","$400,000.00 ",2926,HOTEL,HOTEL,32.860814,-96.764429,8340,Southwestern Blvd,,,Dallas,TX,Dallas County,75206,US
Building (BU) Commercial  New Construction,1802231060,5/3/2018,2242 FORT WORTH AVE Ste:115,75211,43-Z,"MANH BUI 5916 TERRACE OAKS LN , FT WORTH , TX 76112 (682) 256-7356","$120,000.00 ",2920,INTERIOR REMODEL - CREATE SUITE 115 & 1ST TIME FINISH-OUT,PERSONAL SERVICE USE,32.760397,-96.858815,2242,Ft Worth Ave,Ste,115,Dallas,TX,Dallas County,75211,US
Building (BU) Commercial  New Construction,1802201057,4/30/2018,11881 INWOOD RD,75244,14-Z,"GREYSTAR DEVELOPMENT & CONSTRUCTION 600 E LAS COLINAS BLVD STE 2100, IRVING , TX 75039 (972) 556-8972","$23,277.00 ",2740,NEW CONSTRUCTION,RETIREMENT HOUSING,32.91067,-96.819333,11881,Inwood Rd,,,Dallas,TX,Dallas County,75244,US
Building (BU) Commercial  New Construction,1805291052,9/13/2018,555 W MOCKINGBIRD LN,75247,33-X,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","$150,000.00 ",2720,NEW CONSTRUCTION OF 7- ELEVEN STORE.,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.807422,-96.873979,555,W Mockingbird Ln,,,Dallas,TX,Dallas County,75247,US
Building (BU) Commercial  New Construction,1709211177,1/3/2018,3620 W CAMP WISDOM RD,75237,63-T,"TM SOURCE BUILDING GROUP, INC 5601 BRIDGE ST, STE 230, FORT WORTH, TX 76112 (817) 451-4958","$287,424.00 ",2696,SHELL,SHELL BUILDING,32.661803,-96.878726,3620,W Camp Wisdom Rd,,,Dallas,TX,Dallas County,75237,US
Building (BU) Commercial  New Construction,1802221169,5/10/2018,7650 CAMPBELL RD,75248,6-P,"TURNKEY CONSTRUCTION 10755 SANDHILL RD, DALLAS, TX 75238 (214) 503-6555","$725,000.00 ",2543,CANOPY,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.977962,-96.768539,7650,Campbell Rd,,,Dallas,TX,Dallas County,75248,US
Building (BU) Commercial  New Construction,1808161134,11/2/2018,7953 S HAMPTON RD,75232,73-D,"3-I GENERAL CONTRACTOR INC 1915 WESTRIDGE DR, IRVING, TX 75038 (972) 550-1282","$375,000.00 ",2527,CONSTRUCT NEW RESTAURANT,RESTAURANT WITH DRIVE-IN SERVICE,32.65048,-96.857768,7953,S Hampton Rd,,,Dallas,TX,Dallas County,75232,US
Building (BU) Commercial  New Construction,1804111096,7/24/2018,8989 BRUTON RD,75227,"58-D,59-A","B-G WALKER, INC 18444 NE 23RD, HARRAH, OK 73045 (405) 454-1487","$40,000.00 ",2500,NEW CONSTRUCTION,TOWER/ANTENNA FOR CELLULAR COMMUNICATION,32.74917,-96.668901,8989,Bruton Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1804061132,11/14/2018,6072 SHERRY LN,75225,25-X,"SCOTT & REID 17300 DALLAS PKWY, SUITE 2000, DALLAS, TX 75248 (469) 374-3400","$637,500.00 ",2475,NEW CONSTRUCTION OF A SHELL DRIVE THRU,SHELL BUILDING,32.861885,-96.806775,6072,Sherry Ln,,,Dallas,TX,Dallas County,75225,US
Building (BU) Commercial  New Construction,1802271130,8/1/2018,6471 E NORTHWEST HWY Ste:150,75231,"26-Z,36-D","WESTMORELAND BUILDERS LLC 1597 HART ST, SOUTHLAKE, TX 76092 (817) 416-4741","$300,000.00 ",2450,FIRS TIME TENANT SPACE FINISH OUT,RESTAURANT WITHOUT DRIVE-IN SERVICE,32.858125,-96.750107,6471,E Northwest Hwy,Ste,150,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1601271048,1/22/2018,3223 WEISENBERGER DR,75212,42-M,"LUIS QUIROZ 1420 N OCONNOR , IRVING, TX 75061 (214) 687-6401","$48,000.00 ",2400,NEW COMMERCIAL CONSTRUCTION,"CHURCH, SYNAGOGUE, TEMPLE, MOSQUE",32.781849,-96.897563,3223,Weisenberger Dr,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1711201135,1/24/2018,2701 RANCH TRL,75019,"11A-P,11A-Q","NORTHSTAR BUILDERS GROUP 270 NORTH DENTON TAP, SUITE 250, COPPELL, TX 75019 (972) 745-6900","$348,000.00 ",2320,NEW CONCESSION & RESTROOM BLDGS.,PUBLIC OR PRIVATE SCHOOL,32.928937,-96.98136,2701,Ranch Trl,,,Coppell,TX,Dallas County,75019,US
Building (BU) Commercial  New Construction,1704281069,5/8/2018,2525 W MOCKINGBIRD LN,75235,"34-N,34-P","PANTERRA DEVELOPMENT LTD, LLP 14901 QUORUM DR #320, DALLAS , TX 75254 (214) 461-9657","$100,000.00 ",2274,RESTAURANT,RESTAURANT WITH DRIVE-IN SERVICE,32.828939,-96.844244,2525,W Mockingbird Ln,,,Dallas,TX,Dallas County,75235,US
Building (BU) Commercial  New Construction,1802201056,4/30/2018,11881 INWOOD RD,75244,14-Z,"GREYSTAR DEVELOPMENT & CONSTRUCTION 600 E LAS COLINAS BLVD STE 2100, IRVING , TX 75039 (972) 556-8972","$23,277.00 ",2207,NEW CONSTRUCTION,RETIREMENT HOUSING,32.91067,-96.819333,11881,Inwood Rd,,,Dallas,TX,Dallas County,75244,US
Building (BU) Commercial  New Construction,1802141026,6/15/2018,2700 SKILLMAN ST,75214,"36-Q,36-U","THE FAIN GROUP, INC P.O. BOX 750, FORT WORTH, TX 76101 (817) 927-4388","$250,000.00 ",2170,,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.82254,-96.76081,2700,Skillman St,,,Dallas,TX,Dallas County,75214,US
Building (BU) Commercial  New Construction,1802221152,6/26/2018,807 W CANTY ST,75208,"44-Y,54-B,54-C","THE FAIN GROUP, INC P.O. BOX 750, FORT WORTH, TX 76101 (817) 927-4388","$500,000.00 ",2168,NEW COMMERCIAL CONSTRUCTION,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.752528,-96.834481,807,W Canty St,,,Dallas,TX,Dallas County,75208,US
Building (BU) Commercial  New Construction,1708041069,2/7/2018,7557 GREENVILLE AVE,75231,26-L,"NATIONAL DEVELOPMENT SERVICES, INC 30435 US HWY 281 N , BULVERDE, TX 78163 (210) 887-9271","$400,000.00 ",2100,NEW CONSTRUCTION,WAREHOUSE,32.885424,-96.759501,7557,Greenville Ave,,,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1811011090,11/13/2018,4855 MOUNTAIN CREEK PKWY,75211,61A-R,"DOUGLAS SPECIALTIES 209 E CROSSMAIN, MILFORD, TX 76670 (214) 914-0326","$20,000.00 ",2100,CANOPY TO COVER DUMPSTERS,INDUSTRIAL (INSIDE),32.674862,-96.969528,4855,Mountain Creek Pkwy,,,Dallas,TX,Dallas County,75236,US
Building (BU) Commercial  New Construction,1801091109,5/11/2018,8092 FERGUSON RD,75228,47-D,"KASH INVESTORS GROUP LLC 721 WINDING BEND CIR, HIGHLAND VILLAGE, TX 75077 (188) 896-5968","$54,000.00 ",2070,"NEW CONSTRUCTION, CREATE NEW BLDG. FOR PROPOSED GAS STATION/ COVENIENT  STORE AND ALL RELATED SITE W",GEN MERCHANDISE OR FOOD STORE < 3500 SQ. FT.,32.803096,-96.711839,8092,Ferguson Rd,,,Dallas,TX,Dallas County,75228,US
Building (BU) Commercial  New Construction,1804271134,7/19/2018,7190 SKILLMAN ST Ste:110,75231,"27-N,27-P","IDEAL AMBIENT LLC. 3114 Towerwood Dr. , Farmers Branch, TX 75234 (972) 880-0433","$250,000.00 ",2021,FIRST TIME FINISH OUT,RESTAURANT WITH DRIVE-IN SERVICE,32.87663,-96.734024,7190,Skillman St,Ste,110,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1705261059,9/14/2018,4707 ALGIERS ST Ste:101,75207,44-A,"RICHARDSON RESIDENTIAL DESIGN & CONSTRUCTION INC. 1408 CHICKASAW DR., RICHARDSON, TX 75080 (214) 354-8661","$129,820.00 ",2000,NEW CONSTRUCTION,SHELL BUILDING,32.802057,-96.848444,4707,Algiers St,Ste,101,Dallas,TX,Dallas County,75207,US
Building (BU) Commercial  New Construction,1705261060,9/14/2018,4707 ALGIERS ST Ste:102,75207,44-A,"RICHARDSON RESIDENTIAL DESIGN & CONSTRUCTION INC. 1408 CHICKASAW DR., RICHARDSON, TX 75080 (214) 354-8661","$129,820.00 ",2000,NEW CONSTRUCTION,SHELL BUILDING,32.802057,-96.848444,4707,Algiers St,Ste,102,Dallas,TX,Dallas County,75207,US
Building (BU) Commercial  New Construction,1705261061,9/14/2018,4707 ALGIERS ST Ste:103,75207,44-A,"RICHARDSON RESIDENTIAL DESIGN & CONSTRUCTION INC. 1408 CHICKASAW DR., RICHARDSON, TX 75080 (214) 354-8661","$129,820.00 ",2000,NEW CONSTRUCTION,SHELL BUILDING,32.802057,-96.848444,4707,Algiers St,Ste,103,Dallas,TX,Dallas County,75207,US
Building (BU) Commercial  New Construction,1705261062,9/14/2018,4707 ALGIERS ST Ste:104,75207,44-A,"RICHARDSON RESIDENTIAL DESIGN & CONSTRUCTION INC. 1408 CHICKASAW DR., RICHARDSON, TX 75080 (214) 354-8661","$129,820.00 ",2000,NEW CONSTRUCTION,SHELL BUILDING,32.802057,-96.848444,4707,Algiers St,Ste,104,Dallas,TX,Dallas County,75207,US
Building (BU) Commercial  New Construction,1705261063,9/14/2018,4707 ALGIERS ST,75207,44-A,"RICHARDSON RESIDENTIAL DESIGN & CONSTRUCTION INC. 1408 CHICKASAW DR., RICHARDSON, TX 75080 (214) 354-8661","$129,820.00 ",2000,NEW CONSTRUCTION,SHELL BUILDING,32.802057,-96.848444,4707,Algiers St,,,Dallas,TX,Dallas County,75207,US
Building (BU) Commercial  New Construction,1802201038,4/30/2018,11881 INWOOD RD,75244,14-Z,"GREYSTAR DEVELOPMENT & CONSTRUCTION 600 E LAS COLINAS BLVD STE 2100, IRVING , TX 75039 (972) 556-8972","$1,276,275.00 ",1997,NEW CONSTRUCTION,RETIREMENT HOUSING,32.91067,-96.819333,11881,Inwood Rd,,,Dallas,TX,Dallas County,75244,US
Building (BU) Commercial  New Construction,1802211020,4/30/2018,11881 INWOOD RD,75244,14-Z,"GREYSTAR DEVELOPMENT & CONSTRUCTION 600 E LAS COLINAS BLVD STE 2100, IRVING , TX 75039 (972) 556-8972","$1,276,275.00 ",1997,NEW CONSTRUCTION,RETIREMENT HOUSING,32.91067,-96.819333,11881,Inwood Rd,,,Dallas,TX,Dallas County,75244,US
