permitnumber,worktype,permittypedescr,description,comments,applicant,declared_valuation,total_fees,issued_date,expiration_date,status,owner,occupancytype,sq_feet,property_id,parcel_id,Latitude,Longitude,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country 
COO826525,ERECT,Certificate of Occupancy,Erect,Three Family DwellingERT510718 December 22  2016 &; SF627963 August 22  2016,Christie Xie,711000,35,5/15/2018 13:14, ,Closed,70-72 BEECHCROFT STREET CONDOMINIUM TRUST,1-3FAM,0,419309,2204027000,42.351432,-71.161274,72,Beechcroft St,,,Brighton,MA,Suffolk County,2135,US
ERT665315,ERECT,Erect/New Construction,Erect,Construction of a new high-rise residential building. 21 stories in height with three levels of below grade parking. The first floor of the building contains the residential lobby  leasing office  retail space and the remainder of the building is comprised of 414;residential units with amenity assembly space on the top floor. Phased occupancy.;*S*Smoke Control Affidavit needed-See Cheryl Odom*;,Christine McMahon,163000000,1637190,7/7/2017 13:00,1/7/2018 0:00,Open,399 CONGRESS LLC,VacLd,483000,350794,602642060,42.348966,-71.046692,399,Congress St,,,Boston,MA,Suffolk County,2210,US
ERT665315,ERECT,Erect/New Construction,Erect,Construction of a new high-rise residential building. 21 stories in height with three levels of below grade parking. The first floor of the building contains the residential lobby  leasing office  retail space and the remainder of the building is comprised of 414;residential units with amenity assembly space on the top floor. Phased occupancy.;*S*Smoke Control Affidavit needed-See Cheryl Odom*;,Christine McMahon,163000000,1637190,7/7/2017 13:00,1/7/2018 0:00,Open,SEAPORT N/P TITLE HOLDER LLC,VacLd,483000,350794,602766010,42.348966,-71.046692,399,Congress St,,,Boston,MA,Suffolk County,2210,US
COO960385,ERECT,Certificate of Occupancy,Erect,125 Units and 97 Parking Spaces ;Amenity Roof Deck ;Courtyard  Fitness/Yoga  LoungeCertificate for Base Bldg  Core/Shell -Bsmt thru 4th. ;Common Areas  (86) Units- 2101-2118  2201-2223  2301-2321  2401-2421  2123  2323  2423  2432  ;Roof Deck  Fitness/Yoga  Lounge-OnlyERT 665744 issued 9/06/17*Temporary Certificate expires on 9/7/19 pending completion of permit*,Christine McMahon,22515200,520,6/10/2019 0:00, ,Closed,32 CAMBRIDGE STREET LLC,Comm,136228,424274,202160000,42.383329,-71.073888,34,Cambridge St,,,Charlestown,MA,Suffolk County,2129,US
ERT665744,ERECT,Erect/New Construction,Erect,Combine lots (Parcel ID: 0202160000 and 0202157000) to be 70 568 SF lot. New construction of a four story residential building over steel and concrete podium  with 125 units and 97 parking spaces in garage  with amenity roof deck ;courtyard  fitness/yoga  lounge as;per plans. Demolition of existing building. Plan filed under ALT665733.,Christine McMahon,22515200,230465,9/6/2017 11:26,3/6/2018 0:00,Open,32 CAMBRIDGE STREET LLC,Comm,136228,424274,202160000,42.383329,-71.073888,34,Cambridge St,,,Charlestown,MA,Suffolk County,2129,US
COO650085,NEWCON,Certificate of Occupancy,New construction,Sixty Six (66) Residential Units ;Parking ;Gym  Professional Office (dental) and Eyebrow Threading SalonTemporary Certificate valid for;90 days; 5/26/19;;pending Article 37.ALT769771 - issued 2/14/18  ERT279485 issued: 2/20/15;&; SF 729756 issued 7/24/17,Christine McMahon,12000000,770,2/26/2019 0:00, ,Closed,HERNANDEZ JOSE L,Multi,99522,351090,105938000,42.376144,-71.039497,248-252,Meridian St,,,Boston,MA,Suffolk County,2128,US
COO706796,ERECT,Certificate of Occupancy,Erect,198 Residential Units  Parking &; RetailCertificate for 198 Residential Units  Parking &; (Retail Core &; Shell)ERT258558 issued: 9/9/2014 &; ALT410493 issued: 10/3/2014,Christine McMahon,15000000,7985,5/16/2017 9:47, ,Closed,ARBORWAY CORP MASS CORP,Mixed,360000,144961,1102617000,42.303521,-71.111201,3589-3611,Washington St,,,Jamaica Plain,MA,Suffolk County,2130,US
COO685289,ERECT,Certificate of Occupancy,Erect,198 Residential Units  Parking &; RetailTemp. COO for 198 Residential Units  Parking &; (Retail Core &; Shell);- to expire on May 30  2107 *Pending completion of Standpipe TestingERT258558 issued 9/9/2014 &; Alt410493 issued 10/3/2014,Christine McMahon,15000000,1180,3/20/2017 8:52, ,Closed,ARBORWAY CORP MASS CORP,Mixed,0,144961,1102617000,42.303521,-71.111201,3589-3611,Washington St,,,Jamaica Plain,MA,Suffolk County,2130,US
ERT888715,ERECT,Erect/New Construction,Erect,Erect a new four story residential building totaling 131 units and 387 parking spaces. Total development consists of two buildings on one lot  total building FAR square feet equals 357 040  with 254 units and 387 parking spaces total. Associated with permit ERT888725.,Christine McMahon,29489500,299655,12/2/2019 15:25,6/2/2020 0:00,Open,BOISVERT ROSARIO J TS,VacLd,156335,437619,2010642010,42.277897,-71.155833,,,,,West Roxbury,MA,Suffolk County,2132,US
ERT888725,ERECT,Erect/New Construction,Erect,Erect a new four story residential building totaling 123 units. Total development consists of two buildings on one lot  total building FAR square feet equals 357 040  with 254 units and 387 parking spaces total  per plans. Associated with permit ERT888715.,Christine McMahon,23828706,240045,12/2/2019 15:25,6/2/2020 0:00,Open,BOISVERT ROSARIO J TS,VacLd,126455,437618,2010642010,42.277897,-71.155833,,,,,West Roxbury,MA,Suffolk County,2132,US
COO1011856,ERECT,Certificate of Occupancy,Erect,Hotel w/340 RoomsERT616284 issued: 1/9/17,Christine Walsh,60898853,17435,10/22/2019 9:21, ,Closed,TS LODGING INC,Comm,142000,419935,305648000,42.350977,-71.064776,240,Tremont St,,,Boston,MA,Suffolk County,2116,US
COO997325,ERECT,Certificate of Occupancy,Erect,HotelTemporary Certificate for the Hotels 340;ROOMS.;;( 9/26/19);ADDING;Assembly spaces on the;2nd  3rd floors &; rooftop.;; Certificate valid for 90 days;expires on 12/26/19;pending completion of permit.ERT616284 issued: 1/9/17,Christine Walsh,60898853,430,9/26/2019 14:56, ,Closed,TS LODGING INC,Comm,142000,419935,305648000,42.350977,-71.064776,240,Tremont St,,,Boston,MA,Suffolk County,2116,US
COO960944,ERECT,Certificate of Occupancy,Erect,Two Hundred Sixty (260) Residential Units  Core &; Shell ;(Retail Spaces)  Garage;&; Courtyard/Swimming PoolERT669089 3/29/17 &; A805867 issued: 6/4/18;;;;,Christine Walsh,68737800,28902.22,8/6/2019 11:11, ,Closed,SERT LOTS 4 & 18 LLC A MASS ,VacLd,139289,421286,703441005,42.325392,-71.061553,25,Jan Karski Way,,,Dorchester,MA,Suffolk County,2125,US
COO900981,ERECT,Certificate of Occupancy,Erect,Two Hundred Sixty (260) Residential Units  Core &; Shell  Retail &; CourtyardTemporary;Certificate for;Phase 1 Core;Shell  Base Building;&; Retail (Ground Floor).; (3/28/19 - ;adding) Two hundred sixty(260) Residential;Units &; Garage.; Valid for 6 Months Expires;;September 29  2019;pending completion of permit.ERT669089 3/29/17 &; A805867; 6/4/18Add amenities space to the final co as issued on Amendment please!;;;,Christine Walsh,68737800,680,3/29/2019 11:20, ,Closed,SERT LOTS 4 & 18 LLC A MASS ,VacLd,139289,421286,703441005,42.325392,-71.061553,25,Jan Karski Way,,,Dorchester,MA,Suffolk County,2125,US
COO1027193,ERECT,Certificate of Occupancy,Erect,Two Hundred Fifteen (215) Residential Units  Parking  Residential Amenity Spaces  Core and Shell Retail Spaces.Certificate for Base Bldg/Core and Shell   Core &; Shell/Retail Space  215;Residential Units ; Parking &;;Amenities Space;; ERT668259 issued 3/29/17 &; A806242 issued 3/28/18;,Christine Walsh,62079200,11188.72,9/24/2019 0:00, ,Closed,SERT  LOT 17  LLC,VacLd,14500,420663,703469000,42.324486,-71.062529,4,Lucy St,,,Dorchester,MA,Suffolk County,2125,US
COO971787,ERECT,Certificate of Occupancy,Erect,Two Hundred Fifteen (215) Residential Units  Parking  Residential Amenity Spaces  Core and Shell Retail Spaces.Temporary Certificate for Core and Shell Base Building;Retail Space  215;Residential Units &; Parking.; Adding the Amenities Space 10/11/19.; Certificate;valid for 90 Days;;;12/24/19 pending completion of permitERT668259 issued 3/29/17 &; A806242 issued 3/28/18;,Christine Walsh,62079200,1220,9/24/2019 0:00, ,Closed,SERT  LOT 17  LLC,VacLd,14500,420663,703469000,42.324486,-71.062529,4,Lucy St,,,Dorchester,MA,Suffolk County,2125,US
COO1015736,ERECT,Certificate of Occupancy,Erect,2;Family Dwelling Ert711829 - 11/26/18,Christopher Barbour,600000,35,12/12/2019 9:47, ,Closed,TOUPIN LAUREN,1-2FAM,0,424177,1704518000,42.28418,-71.06699,53,Bailey St,,,Dorchester Center,MA,Suffolk County,2124,US
ERT711829,ERECT,Erect/New Construction,Erect,Subdivide (ALT819658);this lot into two lots and erect a two family dwelling as per plans,Christopher Barbour,600000,6095,11/26/2018 11:54,5/26/2019 0:00,Open,TOUPIN LAUREN,1-2FAM,7000,424177,1704518000,42.28418,-71.06699,53,Bailey St,,,Dorchester Center,MA,Suffolk County,2124,US
ERT819367,ERECT,Erect/New Construction,Erect,Raze existing garage. Erect new detached garage and accessory;greenhouse at rear of existing single=family dwelling.,Christopher Connolly,80700,881,5/11/2018 10:12,11/11/2018 0:00,Open,EVANS JOSEPH BENJAMIN,1-2FAM,0,424077,2002504000,42.27844,-71.15357,42,Linnet St,,,West Roxbury,MA,Suffolk County,2132,US
ERT616863,ERECT,Erect/New Construction,Erect,Clippership Wharf; ( Building 1 ) -; Construct a new 6 story Mixed-Use Building.; There will be;a below-grade Parking Garage which will serve all 4 separate Buildings. ;Building 1 will consist of 209 Residential Units.;;Building 1 also contains a Leasing Center and a;Management Office.; Building 1 will;also contain Resident Amenity spaces and a Landscaped Courtyard.; Building 1 will also contain a Ground Floor shell space for future Retail Use.;;; ; The total Clippership Wharf Project;will create;478 Residential Units.;;;;;;;;;;;;All of Project;Construction Plans;filed under ERT616843 ( 55 Lewis Street );;;,Christopher McAuliffe,67487761,731565,5/16/2017 10:56,11/16/2017 0:00,Closed,NODDLE ISLAND LP,Mixed,220169,421142,105400000,42.368213,-71.041092,15,Monsignor Albert A Jacobbe Rd,,,Boston,MA,Suffolk County,2128,US
ERT616885,ERECT,Erect/New Construction,Erect,Clippership Wharf ( Building 4 ) -;Construct a 6 story  Mixed-Use Building.; There will be a Lower Level;Parking Garage which will serve all 4 Buildings.; On the Ground Floor there will be shell space for future Retail Use.;;;;Building 4 of 4 will consist of 114 Dwelling Units of the total projects 478 dwelling units spread between the 4 buildings.;All of Project;Construction Plans;filed under ERT616843 ( 55 Lewis Street );;,Christopher McAuliffe,37370644,397590,5/16/2017 10:56,11/16/2017 0:00,Closed,LENDLEASE CLIPPERSHIP WHARF ,Mixed,120225,419864,105397000,42.366963,-71.041675,45,Lewis St,,,East Boston,MA,Suffolk County,2128,US
ERT616843,ERECT,Erect/New Construction,Erect,Clippership Wharf ( Building 2 ) -;Construct a 6 story Mixed-Use Building.; There will be a Lower Level;Parking Garage which will serve all 4 Buildings.; ;Building 2 of 4 will consist of; 75 Dwelling Units of the total projects 478 Dwelling Units spread between the 4 buildings.; All of Project;Construction Plans;filed under ERT616843 ( 55 Lewis Street );;;,Christopher McAuliffe,27051233,306782,5/16/2017 10:56,11/16/2017 0:00,Open,NODDLE ISLAND LP,Mixed,82886,419863,105400000,42.367746,-71.041565,55,Lewis St,,,East Boston,MA,Suffolk County,2128,US
ERT616875,ERECT,Erect/New Construction,Erect,Clippership Wharf ( Building 3 ) -;Construct a 6 story Mixed-Use Building.; There will be a Lower Level;Parking Garage which will serve all 4 Buildings.; At the Rear of Building ( Grade Level ) there will be shell space for future Retail Use  and an accessory fitness room and common amenity space.;;Building 3 of 4 will consist of 80 Dwelling Units of the total projects 478 dwelling units spread between the 4 buildings.; All of Project;Construction Plans;filed under ERT616843 ( 55 Lewis Street );;,Christopher McAuliffe,31740991,337430,5/16/2017 10:56,11/16/2017 0:00,Closed,NODDLE ISLAND LP,Mixed,93203,419865,105400000,42.36768,-71.042237,65,Lewis St,,,East Boston,MA,Suffolk County,2128,US
ERT696069,ERECT,Erect/New Construction,Erect,demo existing garage structure and(see short form application)construct single dwelling with 2 car garage 4-6 parking spaces ;;;,Christopher Miller,200000,2134,8/2/2019 15:00,2/2/2020 0:00,Open,MILLER CHRISTOPHER L,1-2FAM,1000,422065,1903191000,42.287702,-71.125297,18,Bexley Rd,,,Roslindale,MA,Suffolk County,2131,US
ERT557131,NEWCON,Erect/New Construction,New construction,;SP # 12 6-10-2016 ending 7-1-2016.New Retail ground floor  parking below  20 residential units above FA and FP.,Christopher P Desisto,4800000,50475,7/19/2017 13:47,1/19/2018 0:00,Open,THIRTY-1 NORTH BEACON ST LLC MASS LLC,Mixed,0,419828,2201752000,42.35399,-71.138875,1,Everett St,,,Allston,MA,Suffolk County,2134,US
COO667723,ERECT,Certificate of Occupancy,Erect,Three;Townhouse Units ERT165684 issued: 8/28/15,Christopher P Desisto,800000,3085,1/10/2017 14:26, ,Closed,53-57 ROBESON STREET,1-3FAM,7000,419220,1102475000,42.309964,-71.099566,57,Robeson St,,,Jamaica Plain,MA,Suffolk County,2130,US
COO832285,ERECT,Certificate of Occupancy,Erect,One Family DwellingErt 429168 issued 8/8/16,Christos Paulidis,306000,705,5/18/2018 8:48, ,Closed,MONDELUS ASHA,1-2FAM,2496,355232,2000886000,42.279858,-71.138492,41,Leniston St,,,Roslindale,MA,Suffolk County,2131,US
ERT766108,ERECT,Erect/New Construction,Erect,Erect new single family dwelling,Claudio Di Letizia,275000,2866,1/9/2018 12:39,7/9/2018 0:00,Closed,MCCORMICK JERILYN M,VacLd,2600,140345,2003629004,42.29551,-71.13902,36,Vfw Pkwy,,,West Roxbury,MA,Suffolk County,2132,US
ERT797154,ERECT,Erect/New Construction,Erect,Erect new single family dwelling 4 bedrooms 2 1/2 baths,Claudio Di Letizia,275000,2866,4/26/2018 9:55,10/26/2018 0:00,Closed,NARGASSANS TYSON ROBERT,1-2FAM,2630,423427,2002625000,42.274221,-71.146483,27,Partridge St,,,West Roxbury,MA,Suffolk County,2132,US
COO783566,ERECT,Certificate of Occupancy,Erect,Two(2) Family DwellingERT683874 issued: 4/27/17 &; SF686482 issued: 3/10/17,Claudio DiLetizia,410000,35,12/13/2017 11:28, ,Closed,25-27 NIKISCH AVENUE,1-2FAM,4101,421291,2000852000,42.278777,-71.13987,27,Nikisch Ave,,,Roslindale,MA,Suffolk County,2131,US
ERT683874,ERECT,Erect/New Construction,Erect,Demolish existing Single Family House.; Erect a;new 2 1/2 story Two (;2 ) Family Dwelling on existing 8 176 sq ft Lot.;;,Claudio DiLetizia,410000,4216,4/27/2017 13:01,10/27/2017 0:00,Closed,25-27 NIKISCH AVENUE,1-2FAM,4101,421291,2000852000,42.278777,-71.13987,27,Nikisch Ave,,,Roslindale,MA,Suffolk County,2131,US
COO990302,ERECT,Certificate of Occupancy,Erect,Single Family DwellingERT891595 issued: 2/19/19,Claudio DiLetizia,275000,35,8/29/2019 11:24, ,Closed,PENETAR ERIC E,1-2FAM,2600,437440,2005260000,42.290678,-71.127381,56,Arborough Rd,,,Roslindale,MA,Suffolk County,2131,US
ERT891595,ERECT,Erect/New Construction,Erect,ERECT A NEW SINGLE FAMILY HOME 4 BEDROOM 2 2 1/1 BATHS APPROXIMATELY 2600-2700 SQ FT,Claudio DiLetizia,275000,2869,2/19/2019 12:00,8/19/2019 0:00,Open,PENETAR ERIC E,1-2FAM,2600,437440,2005260000,42.290678,-71.127381,56,Arborough Rd,,,Roslindale,MA,Suffolk County,2131,US
ERT912799,ERECT,Erect/New Construction,Erect,erect a new single family dwelling 4 bedroom 2 1/2 baths;,Claudio DiLetizia,275000,2869,7/8/2019 14:06,1/8/2020 0:00,Open,CAD BUILDERS LLC,1-2FAM,2700,437572,2003307000,42.270796,-71.152108,16,Eagle St,,,West Roxbury,MA,Suffolk County,2132,US
ERT992854,ERECT,Erect/New Construction,Erect,Combine and subdivide parcels # 2002618000 &; #2002619000 into two new Lots. The new lot will be 7 191 sq ft and we will erect a new Single Family Home 4 bedroom 2 1/2 baths,Claudio DiLetizia,287500,3005,11/19/2019 13:01,5/19/2020 0:00,Closed,CAD BUILDERS LLC,1-2FAM,2700,438872,2002618000,42.275211,-71.14621,2,Searle Rd,,,West Roxbury,MA,Suffolk County,2132,US
ERT992863,ERECT,Erect/New Construction,Erect,Combine and subdivide parcels # 2002618000 &; #2002619000 into two new Lots. The new lot will be 7 000 sq ft and we will erect a new Single Family Home 4 bedroom 2 1/2 bath home,Claudio DiLetizia,287500,3005,11/19/2019 13:01,5/19/2020 0:00,Closed,CAD BUILDERS LLC,1-2FAM,2600,438873,2002618000,42.275072,-71.146373,4,Searle Rd,,,West Roxbury,MA,Suffolk County,2132,US
COO888662,ERECT,Certificate of Occupancy,Erect,12 Residential;;Units  Commercial Space &; Restaurant #36ACertificate for 12 Residential Units ;Restaurant(36A) &;;Core/Shell for the Commercial Space ERT556975 issued: 6/12/17;;,Clayton Turnbull,2900000,11615,10/16/2018 8:05, ,Closed,CITY OF BOSTON,Mixed,0,419827,903168000,42.3283,-71.086829,2493,Washington St,,,Roxbury,MA,Suffolk County,2119,US
COO873071,ERECT,Certificate of Occupancy,Erect,12 Residential;;Units  Commercial Space &; Restaurant #36ACertificate for 12 Residential Units ; Core/Shell for theCommercial Space &; Restaurant #36A) -onlyERT556975 issued: 6/12/17*Temporary Certificate expires on;10/30/18 pending completion of permit*;;,Clayton Turnbull,0,410,8/30/2018 8:27, ,Closed,CITY OF BOSTON,Mixed,0,419827,903168000,42.3283,-71.086829,2493,Washington St,,,Roxbury,MA,Suffolk County,2119,US
ERT818982,ERECT,Erect/New Construction,Erect,The project consists of the construction of a new hotel building at 15 Terminal Street in the Seaport District of Boston. The hotel will be fourteen (14) stories above grade with the first floor containing retail  mechanical support and amenity spaces. Second floor containing open parking  Floor three containing guest room and amenity spaces  and floors four through fourteen containing guestrooms. The guest rooms will be split between extended stay rooms  branded as Homewood Suites and conventional hotel rooms branded as a Hampton Inn for a total of 411 rooms. (166 extended stay and 245 conventional rooms),Clifton Page,102656191,1036708,6/19/2018 10:38,12/19/2018 0:00,Open,ECONOMIC DEVELOPMENT AND,VacLd,311000,423684,602674000,42.344368,-71.037682,15,Terminal St,,,Boston,MA,Suffolk County,2210,US
ERT712064,ERECT,Erect/New Construction,Erect,The construction of a Type 5-A accessory building. This 320 sq ft building will be purposed for storage.,Cody Atwood,4000,105,1/25/2018 15:45,7/25/2018 0:00,Open,BUILDEX REAL ESTATE VENTURES,Multi,182,423168,1102688000,42.302789,-71.105981,85,Brookley Rd,,,Jamaica Plain,MA,Suffolk County,2130,US
COO852469,ERECT,Certificate of Occupancy,Erect,Three (3) Family DwellingERT620285;- 6/1/17,Colin Rilet,340000,740,7/11/2018 8:22, ,Closed,7 WALES STREET CONDOMINIUM TRUST,VacLd,42000,141586,1401937000,42.298185,-71.086167,7,Wales St,,,Dorchester Center,MA,Suffolk County,2124,US
COO850351,ERECT,Certificate of Occupancy,Erect,Three (3) Family DwellingTemporary Certificate for the 3 family dwelling pending completion of permit.; Certificate valid for 60 days; Expires 9/10/18..ERT620285 issued: 6/1/17,Colin Rilet,340000,75,7/10/2018 8:31, ,Closed,7 WALES STREET CONDOMINIUM TRUST,VacLd,42000,141586,1401937000,42.298185,-71.086167,7,Wales St,,,Dorchester Center,MA,Suffolk County,2124,US
COO729783,ERECT,Certificate of Occupancy,Erect,Four (4) Residential UnitsERT57266 issued: 12/28/15  SF539102 issued: 11/13/15 &; SF529258 issued: 10/14/15,colm dunphy,633000,125,7/17/2017 9:23, ,Closed,TYRONE DEVELOPMENT LLC,Multi,0,343099,600665000,42.336548,-71.052853,141-143,W Sixth St,,,Boston,MA,Suffolk County,2127,US
COO1034941,ERECT,Certificate of Occupancy,Erect,(32) Residential Units &; Parking GarageErt 479068 issued 10/24/18*Temporary certificate-expires-1/20/20-pending completion *,colm oshea,4800000,300,12/20/2019 9:19, ,Closed,58 TO 76 STONLEY ROAD LLC,Multi,0,131009,1102704000,42.30335,-71.10856,76,Stonley Rd,,,Jamaica Plain,MA,Suffolk County,2130,US
ERT479068,ERECT,Erect/New Construction,Erect,SP # 12 3-31-2017 Ending 4-19-2017Demolition of an existing brick veneer structure and erect a multi-family structure containing 32 residential units. This application in conjunction with Alt479101LPR area LS,colm oshea,4800000,98142,10/24/2018 10:21,4/24/2019 0:00,Open,58 TO 76 STONLEY ROAD LLC,Multi,0,131009,1102704000,42.30335,-71.10856,76,Stonley Rd,,,Jamaica Plain,MA,Suffolk County,2130,US
COO1030729,ERECT,Certificate of Occupancy,Erect,Two (2) Residential UnitsERT598276 - 8/9/17  SF987088 - 8/9/19  SF957544 - 6/3/19 &; A1028318 - 12/10/19,Colm O'Shea,542500,85,12/11/2019 9:17, ,Closed,42-48 WOODLEY AVENUE CONDOMINIUM TRUST,1-2FAM,0,420543,2012068000,42.264925,-71.14979,44,Woodley Ave,,,West Roxbury,MA,Suffolk County,2132,US
COO1010229,ERECT,Certificate of Occupancy,Erect,Two (2) Residential UnitsTemporary;Certificate for:;42 &; 44 Woodley.; Certificate valid for 90 days; 1/10/20;pending completion of permit.ERT598276 - 8/9/17  SF987088 - 8/9/19 &; SF957544 - 6/3/19,Colm O'Shea,542500,75,10/10/2019 9:47, ,Closed,42-48 WOODLEY AVENUE CONDOMINIUM TRUST,1-2FAM,0,420543,2012068000,42.264925,-71.14979,44,Woodley Ave,,,West Roxbury,MA,Suffolk County,2132,US
COO1010204,ERECT,Certificate of Occupancy,Erect,Two;Family DwellingERT598370;- 8/9/17  ;Sf987088 - 8/9/19 &; A1028323 - 12/10/19;,Colm O'Shea,538500,85,12/11/2019 9:16, ,Closed,42-48 WOODLEY AVENUE CONDOMINIUM TRUST,1-2FAM,0,420544,2012068000,42.264669,-71.149743,48,Woodley Ave,,,West Roxbury,MA,Suffolk County,2132,US
COO997460,ERECT,Certificate of Occupancy,Erect,Two;(2) Residential UnitsTemporary Certificate for: 48 Woodley Avenue.;; Adding;46 Woodley.; Certificate valid for 90 days; 1/10/20 pending completion of permit.;ERT598370;- ;8/9/17;,Colm O'Shea,537500,150,10/10/2019 0:00, ,Closed,42-48 WOODLEY AVENUE CONDOMINIUM TRUST,1-2FAM,0,420544,2012068000,42.264669,-71.149743,48,Woodley Ave,,,West Roxbury,MA,Suffolk County,2132,US
ERT734229,ERECT,Erect/New Construction,Erect,New Ground up Residential Group Home Facility.; There will be Twenty Bedrooms.,Connor Mahoney,3006914,31648,12/29/2017 9:21,6/29/2018 0:00,Open,HOME FOR LITTLE WANDERERS IN,VacLd,30757,422271,1000598020,42.331345,-71.100783,73,Alleghany St,,,Roxbury Crossing,MA,Suffolk County,2120,US
FND771488,ERECT,Foundation Permit,Erect,Foundation only permit for the new Ground up residential group home Facility of twenty bedrooms.,Connor Mahoney,0,121,10/26/2017 12:39,4/26/2018 0:00,Open,HOME FOR LITTLE WANDERERS IN,VacLd,30757,422271,1000598020,42.331345,-71.100783,73,Alleghany St,,,Roxbury Crossing,MA,Suffolk County,2120,US
COO725813,ERECT,Certificate of Occupancy,Erect,Two Family DwellingCOO for Two Family DwellingERT500382 issued 11/10/2016 &; SF630271 issued 8/29/2016,Cormac Kelly,815000,605,7/11/2017 8:38, ,Closed,469 EAST FOURTH STREET,1-2FAM,0,59756,701062000,42.33465,-71.04654,469,E 4th St,,,South Boston,MA,Suffolk County,2127,US
ERT804250,ERECT,Erect/New Construction,Erect,Erect new three-family dwelling;on existing vacant lot. Propose three (3);off-street parking.,CP12 Construction LLC,300000,3579,6/5/2019 11:44, ,Closed,32 WENTWORTH STREET LLC,VacLd,3318,346898,1701388000,42.287592,-71.07506,32,Wentworth St,,,Dorchester Center,MA,Suffolk County,2124,US
ERT636547,ERECT,Erect/New Construction,Erect,Demolish existing wood frame structure; Change Use and Occupancy; Erect new;3 story residential condominium comprised of;2 dwelling units on 3 floors and a;2 car parking garage located at grade; Building to be wood frame construction for walls and floors. All new systems-per plans.,Cronan Dempsey,1095000,11033,11/8/2018 9:10,5/8/2019 0:00,Closed,8-10  GRIMES  STREET  LLC,1-2FAM,6700,67252,600867000,42.33416,-71.05168,10,Grimes St,,,South Boston,MA,Suffolk County,2127,US
COO775805,NEWCON,Certificate of Occupancy,New construction,Three;(3) Residential UnitsERT499536 issued: 9/27/16,Dainius Kuper,450000,35,4/27/2018 14:09, ,Closed,233 WEST THIRD LLC,1-3FAM,0,135311,601578000,42.338864,-71.048964,233,W 3rd St,,,South Boston,MA,Suffolk County,2127,US
COO782694,NEWCON,Certificate of Occupancy,New construction,Three;(3) Residential UnitsTemporary Certificate valid until May 1  2018 pending BFD Standpipe.ERT499536 issued: 9/27/16,Dainius Kuper,0,110,12/1/2017 14:59, ,Closed,233 WEST THIRD LLC,1-3FAM,0,135311,601578000,42.338864,-71.048964,233,W 3rd St,,,South Boston,MA,Suffolk County,2127,US
ERT966970,ERECT,Erect/New Construction,Erect,Olmstead Green -; Erect a 3 story Six ( 6 ) Unit Residential Dwelling;as per plans.;;,Dale Thistle,1082400,13245,12/6/2019 14:24,6/6/2020 0:00,Open,OG WEST CAMPUS LAND LLC,Multi,6832,437858,1405198500,42.285796,-71.096685,112,Deering Rd,,,Mattapan,MA,Suffolk County,2126,US
ERT966975,ERECT,Erect/New Construction,Erect,Olmstead Green -; Erect a 3 story Five ( 5 ) Unit Residential Dwelling;as per plans.;;;,Dale Thistle,902000,11285,12/6/2019 14:25,6/6/2020 0:00,Open,OG WEST CAMPUS LAND LLC,Multi,5835,437859,1405198500,42.285912,-71.09698,114,Deering Rd,,,Mattapan,MA,Suffolk County,2126,US
ERT966917,ERECT,Erect/New Construction,Erect,Olmstead Green - Erect a 3 story Twelve ( 12 ) Unit Residential Dwelling;as per plans.;;;;LPR;,Dale Thistle,2164800,24433,12/6/2019 14:19,6/6/2020 0:00,Open,OG WEST CAMPUS LAND LLC,Multi,12078,437854,1405198500,42.286735,-71.095686,529,Harvard St,,,Mattapan,MA,Suffolk County,2126,US
ERT966922,ERECT,Erect/New Construction,Erect,Olmstead Green -; Erect a 3 story Six ( 6 ) Unit Residential Dwelling;as per plans.;,Dale Thistle,1082400,13245,12/6/2019 14:20,6/6/2020 0:00,Open,OG WEST CAMPUS LAND LLC,Multi,6788,437855,1405198500,42.286489,-71.095933,531,Harvard St,,,Mattapan,MA,Suffolk County,2126,US
ERT966930,ERECT,Erect/New Construction,Erect,Olmstead Green -; Erect a 3 story Twelve ( 12 ) Unit Residential Dwelling;as per plans.;;,Dale Thistle,2164800,23821,12/6/2019 14:21,6/6/2020 0:00,Open,OG WEST CAMPUS LAND LLC,Multi,12056,437856,1405198500,42.286304,-71.096103,533,Harvard St,,,Mattapan,MA,Suffolk County,2126,US
ERT966937,ERECT,Erect/New Construction,Erect,Olmstead Green -; Erect a 3 story Six ( 6 ) Unit Residential Dwelling;as per plans.;,Dale Thistle,1082400,11620,12/6/2019 14:23,6/6/2020 0:00,Open,OG WEST CAMPUS LAND LLC,Multi,6788,437857,1405198500,42.286161,-71.096225,535,Harvard St,,,Mattapan,MA,Suffolk County,2126,US
COO871777,ERECT,Certificate of Occupancy,Erect,Six (6) Residential Units;ERT570214;- 1/12/18  SF762592;- 10/4/17 &; ALT570212;- 1/12/18,Damien Carthy,1400000,3455,9/13/2018 12:08, ,Closed,2-4 ELM STREET CONDOMINIUM TRUST,Multi,0,53194,1600098000,42.29991,-71.05426,2,Elm St,,,Dorchester,MA,Suffolk County,2122,US
COO923010,ERECT,Certificate of Occupancy,Erect,Two (2) Residential UnitsERT675339 issued 2/7/18  SF912844;issued ;1/7/19,Damien Carthy,400300,1975,2/14/2019 8:54, ,Closed,YOUNG BRADLEY J,1-2FAM,993.8,34736,104304000,42.3812,-71.01335,167,Coleridge St,,,East Boston,MA,Suffolk County,2128,US
